n,titulo,categorias,objetivos,trilhas_candidatas,libras,link
18,"Educação Ambiental de Base Comunitária","Ciências Humanas","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-ambiental-base-comunitaria"
19,"Saberes para o professor do Século XXI","Desenvolvimento Educacional e Social","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?saberes-professor-seculo-xxi"
20,"Operador de Computador","Tecnologias e Informática","Aprender tecnologia","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?operador-de-computador"
21,"Gestão Escolar e Educação Ambiental: conexões Interdisciplinares","Ambiente e Saúde","Crescer na carreira","rio-doce-pool",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?gestao-escolar-e-educacao-ambiental"
22,"Segurança hídrica do Rio Doce pela Perspectiva CTSA","Ambiente e Saúde","","rio-doce-pool",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?seguranca-hidrica-rio-doce-ctsa"
23,"Produção de vídeos em ambientes naturais utilizando smartphone","Ambiente e Saúde","","rio-doce-pool",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?producao-videos-ambientes-naturais-smartphone"
24,"Geomorfologia do Rio Piraquê-açu – Da Nascente ao Manguezal","Ambiente e Saúde","","rio-doce-pool",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?geomorfologia-piraqueacu-nascente-maguezal"
25,"Guardiões da natureza: Educação Ambiental em espaços educativos não formais na primeira infância","Ambiente e Saúde","","rio-doce-pool",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?guardioes-natureza-educacao-ambiental"
26,"Educação em Saúde Ambiental","Ambiente e Saúde","","rio-doce-pool",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-saude-ambiental"
27,"Desvendando a tabela periódica do Rio Doce","Ambiente e Saúde","","rio-doce-pool",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?desvendando-tabela-periodica-rio-doce"
28,"Árvores e Números: Uma abordagem Matemática para a Preservação Ambiental","Ambiente e Saúde","","rio-doce-pool",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?arvore-numero-matematica-preservacao-ambiental"
29,"Geofísica para o Ensino de Ciências","Ambiente e Saúde","","rio-doce-pool",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?geofisica-ensino-ciencias"
30,"Biopirataria de Abelhas Nativas: Impactos Socioambientais e Econômicos","Ambiente e Saúde","","rio-doce-pool",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?biopirataria-abelhas-nativas-impactos"
31,"Tecnologia Verde: Robótica Sustentável na Educação","Ambiente e Saúde","","rio-doce-pool; maker-educacao-cand",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?tecnologia-verde-robotica-sustentavel-educacao"
32,"Educação Ambiental em Três Momentos Pedagógicos","Ambiente e Saúde","Inovar na sala de aula","rio-doce-pool",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-ambiental-tres-momentos-pedagogicos"
33,"Conservação e Restauração de Nascentes aplicada à Educação Ambiental","Ambiente e Saúde","","rio-doce-pool",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?conservacao-restauracao-nascentes-educacao-ambiental"
34,"Literatura em ação com enfoque CTSA","Ambiente e Saúde","Inovar na sala de aula","rio-doce-pool",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?literatura-acao-enfoque-ctsa"
35,"A Plastinação como Recurso Didático no Ensino de Ciências e Biologia","Ambiente e Saúde; Ciências da Natureza","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?plastinacao-recurso-didatico-ciencias-biologia"
36,"Atendente e Vendedor: Fundamentos do Atendimento e Vendas","Desenvolvimento Educacional e Social","Inovar na sala de aula; Crescer na carreira","atendimento-vendas",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?id=646"
37,"Atendente e Vendedor: Nível Intermediário","Desenvolvimento Educacional e Social","Inovar na sala de aula; Crescer na carreira","atendimento-vendas",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?id=647"
38,"Atendente e Vendedor: Nível Avançado","Desenvolvimento Educacional e Social; Desenvolvimento Pessoal","Inovar na sala de aula; Crescer na carreira","atendimento-vendas",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?atendente-vendedor-avancado"
39,"Inglês para Turismo","Línguas","","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?ingles-para-turismo"
40,"Alfabetização Científica na Prática Pedagógica","Ciências Humanas; Educação","Inovar na sala de aula","",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?alfabetizacao-cientifica-pratica-pedagogica"
41,"Pensamento Computacional com Alfabetização Científica para Comunidade Surda","Educação; Educação a Distância; Inclusão e Acessibilidade; Línguas; Tecnologias e Informática","Inovar na sala de aula; Aprender tecnologia","maker-educacao-cand",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?pensamento-computacional-alfabetizacao-comunidade-surda"
