n,titulo,categorias_slugs,categorias_nomes,libras,link_curso,link_thumb,tags
93,"Avaliação da Aprendizagem no Contexto da Educação Ambiental","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?avaliacao-aprendizagem-contexto-educacao-ambiental","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/Screenshot_20231114_002449_Slides-1.jpg","doce;educacao-ambiental;educador-ambiental;escolar;rio-doce;rio-doce-escolar;riodoceescolar"
94,"Moodle para Estudantes","educacao-a-distancia","Educação a Distância",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?moodle-para-estudantes","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/05/vitrine_MoodleEstudantes.jpg","atividades;ava;avea;conteudos;ead;estudantes;moodle;recursos"
95,"Moodle para Educadores","educacao-a-distancia","Educação a Distância",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?moodle-para-educadores","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_mooc_Moodle-01.jpg","aprendizagem;atividades;ava;avaliacao;educadores;moodle;recursos;salas-virtuais"
96,"Moodle 3.9 para Estudantes","educacao-a-distancia","Educação a Distância",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?moodle-39-para-estudantes","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/02/Moodle-para-Estudantes.png","atividades;ava;avea;conteudos;ead;estudantes;moodle;recursos"
97,"Moodle 3.9 para Educadores","educacao-a-distancia","Educação a Distância",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?moodle-39-para-educadores","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/05/vitrine_moodle_educadores3.9.png","formacao-de-professores;mediacao;moodle;professor-mediador"
98,"Introdução à Iniciação Científica","educacao;educacao-a-distancia","Educação;Educação a Distância",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-iniciacao-cientifica","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/10/vitrine_introducao_iniciacao_cientifica.png","conhecimento-cientifico;iniciacao-cientifica;projetos-de-pesquisa"
99,"Hamilton: Desenvolvimento de Aplicativos","tecnologias-e-informatica;tecnologias-educacionais","Tecnologias e Informática;Tecnologias Educacionais",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mooc-hamilton-desenvolvimento-aplicativos","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/03/MOOC-Vitrine-MOOC-de-Hamilton-Desenvolvimento-de-Aplicativos.png","desenvolvimento;ionic;programacao"
100,"Licenciamento ambiental: Legislação aplicada à avaliação de impactos ambientais","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?licenciamento-ambiental-legislacao-impactos-ambientais","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/03/MOOC-Vitrine-Licenciamento-Ambiental.png","formacao-de-professores;impacto-ambiental;licenciamento-ambiental;meio-ambiente"
101,"Saneamento Básico Urbano: histórico, aspectos e tendências","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?saneamento-basico-urbano-historico-aspectos","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/03/MOOC-Vitrine-Saneamento-Basico.png","esgoto;formacao-de-professores;residuos-solidos;saneamento;tratamento-de-agua"
102,"Saúde mental no contexto da educação","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?saude-mental-contexto-educacao-itinerario","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/03/MOOC-Vitrine-Saude-Mental.png","formacao-de-professores;saude-mental;transtornos-mentais"
103,"Bem-Estar e Substâncias Psicoativas: uma questão de saúde pública","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?bemestar-substancias-psicoativas-saude-publica","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/03/MOOC-Vitrine-Bem-estar-e-Substancias.png","formacao-de-professores;saude;saude-publica;substancias-psicoativas"
104,"Escrita Acadêmica sem Sofrimento","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?escrita-academica-sem-sofrimento","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/12/vitrine_Escrita_Academica_sem_Sofrimento.jpg","escrita-academica;escrita-cientifica;estudantes;redacao;tcc;tese;unac"
105,"Inovação Social no âmbito das Políticas Públicas","gestao","Gestão",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?inovacao-social-ambito-politicas-publicas","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/12/vitrine_INovacao_Social_Politicas_Publicas.jpg","inovacao-social-2;inovacao-social;politicas-publicas;unac"
106,"Aprendendo a licitar com a Administração Pública","gestao","Gestão",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?aprendendo-licitar-administracao-publica","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/12/vitrine_Licitar_adm_publica.jpg","administracao-publica;aprender;gestao;unac"
107,"Desvendando o Plano Educacional Individualizado (PEI)","educacao;inclusao-e-acessibilidade","Educação;Inclusão e Acessibilidade",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?desvendando-plano-educacional-individualizado-pei","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/12/vitrine_Desvendando_PEI.jpg","acessibilidade;educacao;educacao-inclusiva;inclusao;legislacao-ambiental;pei;plano-educacional-especializado;unac"
108,"Caminhos para a alfabetização no contexto da deficiência visual","educacao;inclusao-e-acessibilidade","Educação;Inclusão e Acessibilidade",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?caminhos-alfabetizacao-contexto-deficiencia-visual","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/12/vitrine_Caminhos_Alfabetizacao_Deficiencia_Visual.jpg","acessibilidade;alfabetizacao;alunos;aprendizagem;braille;inclusao;professores;unac"
109,"Estratégias de Pesquisa Qualitativa – Aspectos práticos","educacao","Educação",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?estrategias-pesquisa-qualitativa-aspectos-praticos","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/12/vitrine_Estrategias_Pesquisa_Qualitativa.jpg","abordagem-qualitativa;aprendizagem;ciencias-sociais-aplicadas;metodos-qualitativos;pesquisa-empiricas;unac"
110,"Estatística com o R","tecnologias-e-informatica","Tecnologias e Informática",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?estatistica-com-r","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/12/vitrine_Estatistica_R.jpg","estatistica-com-o-r;graficos-estatisticos;informatica;software;unac"
111,"Introdução à Metodologia da Pesquisa","educacao","Educação",sim,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-metodologia-pesquisa","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/12/vitrine_Intro_Met_Pesquisa.jpg","aprendizagem;metodologia-da-pesquisa;pesquisa;tcc;trabalho-academico;unac"
112,"Educação para as relações étnico-raciais","educacao","Educação",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-para-relacoes-etnico-raciais","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/12/xvitrine_EducEtnicoRacial.png.pagespeed.ic_.Br3WgHAF_x.webp","aprendizagem;educadores;praticas-pedagogicas;relacoes-etnico-raciais"
113,"Introdução à Produção de Audiolivros","tecnologias-educacionais","Tecnologias Educacionais",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?introducao-producao-audiolivros","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_introducao_audiolivro.png","acessibilidade;audio;audiobooks;audiolivros;conectivismo;inclusao;podcasts;recurso-didatico;videos"
114,"Noções de Prevenção e Combate a Incêndios","engenharia","Engenharia",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?nocoes-prevencao-combate-incendios","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_incendio.png","combate;extincao;extintores;fogo;incendio;prevencao"
