Unidade,Curso,Carga horaria,Tipo de curso,Matriculas,Certificados,% certificados,Tempo medio conclusao dias,Horas formacao,Classificacao popularidade
Campus Linhares,Espanhol Comunicativo para Brasileiros,60,Ensino,130,17,0.13076923076923078,16.928571428571427,1020,🟢 Alta
Campus de Alegre,Atendente e Vendedor: Nível Avançado,30,Extensão,129,36,0.27906976744186046,12.333333333333334,1080,🟠 Baixa
Campus Colatina,Produção de Vídeos em Ambientes Naturais Utilizando Smartphone,20,Ensino,106,40,0.37735849056603776,31.88235294117647,800,🔴 Muito Baixa
Campus Vila Velha,Guardiões da Natureza: Educação Ambiental em Espaços Educativos Não Formais na Primeira Infância,20,Pesquisa,99,59,0.5959595959595959,14.827586206896552,1180,🔴 Muito Baixa
Cefor,Educação como Direito e os fundamentos para a gestão e a garantia do acesso,60,Ensino,97,29,0.29896907216494845,14,1740,🟡 Média
Campus Viana,Tecnologia Verde: Robótica Sustentável na Educação,20,Pesquisa,91,22,0.24175824175824176,23.545454545454547,440,🔴 Muito Baixa
Campus Vila Velha,Gestão Escolar e Educação Ambiental: conexões Interdisciplinares,20,Ensino,91,28,0.3076923076923077,14.346153846153847,560,🟠 Baixa
Campus Vila Velha,Conservação e restauração de nascentes aplicada a Educação Ambiental,20,Ensino,79,41,0.5189873417721519,31.157894736842106,820,🔴 Muito Baixa
Campus Vila Velha,Geofísica para o Ensino de Ciências,30,Pesquisa,69,28,0.4057971014492754,25.526315789473685,840,🔴 Muito Baixa
Campus Vila Velha,Geomorfologia do Rio Piraquê-açu - Da Nascente ao Manguezal,20,Ensino,67,26,0.3880597014925373,12.615384615384615,520,🔴 Muito Baixa
Campus Vila Velha,Segurança Hídrica do Rio Doce pela Perspectiva CTSA,20,Pesquisa,66,46,0.696969696969697,12.159090909090908,920,🔴 Muito Baixa
Campus São Mateus,Fundamentos da Eficiência Energética,45,Ensino,64,8,0.125,15,360,🟡 Média
Campus de Alegre,Atendente e Vendedor: Nível Intermediário,20,Extensão,63,22,0.3492063492063492,14.45,440,🔴 Muito Baixa
Campus Vila Velha,Árvores e Números: Uma abordagem Matemática para a Preservação Ambiental,20,Pesquisa,63,27,0.42857142857142855,22.814814814814813,540,🔴 Muito Baixa
Campus Vila Velha,Desafios e Caminhos da Avaliação Matemática Inclusiva,60,Ensino,63,8,0.12698412698412698,12.857142857142858,480,🟡 Média
Campus Vila Velha,Literatura em ação com enfoque CTSA,20,Ensino,63,38,0.6031746031746031,34.27272727272727,760,🔴 Muito Baixa
Campus Serra,PHP Essencial: Primeiros Passos na Programação Web,60,Ensino,52,1,0.019230769230769232,60,3,
Campus Vila Velha,Biopirataria de Abelhas Nativas: Impactos Socioambientais e Econômicos,20,Ensino,51,26,0.5098039215686274,33.52,520,🔴 Muito Baixa
Campus Vila Velha,Desvendando a tabela periódica do Rio Doce,20,Ensino,49,30,0.6122448979591837,20.85185185185185,600,🔴 Muito Baixa
Cefor,A Química dos Produtos de Limpeza,30,Pesquisa,47,12,0.2553191489361702,9.25,360,🔴 Muito Baixa
Campus Vila Velha,CAMINHOS DA EDUCAÇÃO CRÍTICA: INTEGRAÇÃO ENTRE PEDAGOGIA E EDUCAÇÃO AMBIENTAL,60,Ensino,44,6,0.13636363636363635,8.25,360,🟠 Baixa
Campus Vila Velha,"Alfabetização Científica nos Centros de Ciência, Educação e Cultura de Vitória - ES",20,Pesquisa,43,10,0.23255813953488372,218.125,200,🔴 Muito Baixa
Campus Vila Velha,Educação Ambiental em Três Momentos Pedagógicos,20,Ensino,42,32,0.7619047619047619,17.266666666666666,640,🔴 Muito Baixa
Cefor,Modelagem e Análise de Dados: Regressão Logística com aplicação no R,40,Ensino,40,3,,,,
Campus Cachoeiro de Itapemirim,Saúde e Segurança do Trabalho na Indústria de Rochas Ornamentais,60,Ensino,39,12,0.3076923076923077,13.857142857142858,720,
Cefor,Uso de Realidade Aumentada no Ensino de Ciências,30,Ensino,38,5,0.13157894736842105,7.2,150,
Campus Colatina,Serviços terceirizados no setor público: penalidades e sanções,40,Ensino,25,4,0.16,15.333333333333334,160,🔴 Muito Baixa
Campus Viana,Intercâmbio Virtual como estratégia de Internacionalização em Casa,30,Ensino,14,2,0.14285714285714285,6.5,60,🔴 Muito Baixa
Cefor,Curso de Validação do Processo,60,Ensino,7,4,0.5714285714285714,12,240,🔴 Muito Baixa
Campus Barra de São Francisco,Superdotação na Escola: identificando indícios em adolescentes e adultos,60,Ensino,1,60,,,,
